"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","10151","should provide ability to search for a movie and open movie details page","chromium","Wed May 28 12:54:41 UTC 2025","passed","Wed May 28 12:54:51 UTC 2025","IMDb search","playwright/e2e/Search/searchMovie.spec.ts","",""
"","14155","should provide ability to observe top 250 movies","chromium","Wed May 28 12:54:41 UTC 2025","passed","Wed May 28 12:54:55 UTC 2025","IMDb catalogue","playwright/e2e/Films_Rating/observeTop250.spec.ts","",""
